Time;Torcida Organizada;Data;Hora;Tweet;Positivo / Negativo;Conta
Palmeiras;Mancha Verde;21/06/2021;00:43;E aí, @DpaulaPatrick ? Às 14h17 recebemos essa mensagem diretamente de você em nosso Instagram. Agora a noite você estava em balada, tirando com a cara do torcedor palmeirense. E agora, Maurício Banana? O que mais falta pra virar homem e assumir o comando?;Negativo;torcidamv83
;Mancha Verde;;;Ainda bem que desde a ultima tempo os jogadores da base vem sendo mais utilizados;Positivo;
;Mancha Verde;;;Em questao de salários, o palmeiras esta conseguindo pagar tudo em dia;Positivo;
;TUP;15/05/2021;22:02;E foda esses muleques que so pensam em TikTok e nao querem saber de jogar mais;Negativo;tupminhavida
;TUP;;;Impressionante como o Bananotte e o Barros sao uns idiotas para contratar, nunca vi piores que eles;Negativo;
;TUP;;;Depois da triplice coroa esses jogadores não querem saber de mais nada, serao cobrados no CT amanha as 10:00, vai quem quiser tirar satisfacao tambem;Negativo;
;TUP;22/04/2021;01:43;a TUP nunca abaixa a cabeça nas brigas;Negativo;ronaldovr
;Porks;;;Gracas aos titulos desse ano a diretoria conseguiu ficar sem demitir ninguem durante à pandemia;Positivo;
;Porks;;;Certeza que os jogadores nao treinam pra bater a porra do pênalti;Negativo;
;Porks;17/03/2021;02:43;Porks a torcida mais apaixonada;Positivo;leandrorei98
;;;;;;
Corinthians;Gavioes da Fiel;21/06/2021;14:42;Já visitei um bar da Gaviões da Fiel, um rapaz passou de verde em frente ao bar, os torcedores rasgaram a blusa e queimou, acho besteira, só porque é corintiano não pode usar verde?;Positivo;Talita59050540
;Gavioes da Fiel;;;Tem que tirar esse câncer que chamam de diretoria, abrindo votação pra quem é fiel torcedor, só assim tem uma perspectiva real de longo prazo;Negativo;
;Gavioes da Fiel;;;Nao e possivel que aceitaram essa camisa nova branca, muito feia meu deus ;Negativo;
;Camisa 12;15/06/2021;15:42;quando o corinthians foi campeão, eu estava com a linda camisa da 12;Positivo;robert266
;Camisa 12;;;Ate que enfim esta utilizando bastante a base, mais chance de um dar certo;Positivo;
;Camisa 12;;;A gente tem uma lista de jogadores que nao da pra ficar insistindo mais, e logo logo eles serao cobrados ao vivo;Negativo;
;Pavilhao 9;16/06/2021;16:42;a torcida do pavilhão é mil vezes melhor que a da gaviões;Negativo;luizinhooo
;Pavilhao 9;;;Pelo menos paramos a busca por um tecnico e vao deixar o Sylvinho trabalhar;Positivo;
;Pavilhao 9;;;Financas parecem estar melhorando depois da entrada do Duilio ;Positivo;
;;;;;;
Santos;Torcida Jovem;29/05/2021;21:05;adoramos brigar com a dragões da real, eles sempre apanham;Negativo;ReinaldoSilva01
;Sangue Jovem;28/05/2021;22:32;assistir o jogo com a linda torcida da Sangue Jovem, foi incrivel ;Positivo;modoturbo362
;Meninos da Vila;21/05/2021;08:07;bora pro jogo, torcer e gritar pelo nosso Santos;Positivo;luizinhapimentel
;;;;;;
Sao Paulo;Independente;01/02/2021;22:15;como eu te amo tricolor...;Positivo;biel1799
;Independente;04/04/2021;;As contratações do Benitez e do Miranda foram as melhores que eu vi em muito tempo como torcedor tricolor;Positivo;
;Independente;07/06/2021;;E ridiculo ainda pagarmos salario pro Hernanes, como esse cara ta aqui ainda;Negativo;
;Dragoes da Real;15/02/2021;23:32;pode vir porco, de hoje não passa as 21 na barra funda;Negativo;hudson32
;Dragoes da Real;20/05/2021;;Os novos planos de socio-torcedor tao uma maravilha;Positivo;
;Dragoes da Real;;;Ate que enfim temos um presidente que se preocupa e esta lidando com as dividas;Positivo;
;Falange Tricolor;13/02/2021;00:32;como é lindo ver o são paulo jogando bem assim ;Positivo;leozinhopaulista
;Falange Tricolor;;;Nunca vi um DM tao ruim quanto o do SP pela mor de deus;Negativo;
;Falange Tricolor;;;O dani alves esta cada vez menos compromissado com o time, tem q ir embora logo!!;Negativo;
;;;;;;
Flamengo;Raça Rubro-Negra;18/02/2021;16:37;chora torcida do flu, hoje não deu pra vcs;Negativo;luisrubro
;Urubuzada;15/03/2021;16:42;como o maraca eh lindo, bora mengaoo;Positivo;ronaldinho00
;Urubuzada;16/03/2021;17:42;mais uma vitoria do mengão, para alegria da urubuzada;Positivo;fein768
;;;;;;
Fluminense;Young Flu;18/01/2021;11:58;bora pra praia, depois de mais um derrota, preciso relaxar;Negativo;luizalmeidinha
;Young Flu;19/01/2021;12:58;bora fred, meter gol esse ano;Positivo;renatinhoo
;Forca Flu;19/04/2021;14:58;vamooooo meu fluzaooo;Positivo;lorenasena
;;;;;;
Vasco;Forca Jovem;07/05/2021;23:15;é o gigante da colinaaaaaaa;Positivo;robert140
;Forca Jovem;19/06/2021;18:00;O Vasco vale mais que suas vidas. Joguem por elas;Negativo;FJVascodaGama
;TOV;13/05/2021;16:37;dia de jogo, dia de usar a camisa mais bonita do mundo;Positivo;luizabb7
;Mancha Negra;23/05/2021;17:37;mais um episodio acabando com a torcida do flamengo, vamos Mancha Negra;Negativo;lokadacolina
;;;;;;
Botafogo;Estrela Solitaria;09/04/2021;01:32;bora pro niltao, chorar vendo o botafogo jogar, mas com a camisa da querida estrela solitária ;Negativo;xanderex
;Mancha Alvinegra;17/05/2021;11:28;eu te amo Mancha Alvinegra;Positivo;luquinhas111
;Botachopp;11/06/2021;02:32;vamo que vamo fogão em busca de mais uma vitória;Positivo;zeraldo99
;;;;;;
Cruzeiro;Mafia Azul;05/01/2021;12:37;mafia azul manda em minas, pode vir atletico mg;Negativo;rrsouza
;Mafia Azul;11/06/2021;18:00;vamos meu CRUZEIROO;Positivo;arnaldocoelho
;Pavilhao Independente;06/01/2021;14:37;acompanhamos independente de qualquer situação;Positivo;jvribeiro96
;;;;;;
Atletico Mineiro;Galoucura;09/02/2021;19:20;bora galoucura, n vamos perder esse jogo;Positivo;ronaldo17
;Forca Jovem Atleticana;11/04/2021;13:37;sempre apoiando o maior de minas;Positivo;elisandrosilva8
;Candagalo;18/04/2021;15:30;eae mafia azul como é a serie b;Negativo;jujusalimoes
;;;;;;
America Mineiro;Seita Verde;21/01/2021;22:19;A SEITA VERDE E A MAIS PERIGOSA DO BRASIL;Negativo;seitameuamor
;Avacoelhada;15/02/2021;03:19;Vamo meu coelho, jogo importantissimo hoje;Positivo;otaldomaisbrabo
;Koelhomania;14/06/2021;00:19;A Koelhomania mata um, mata geral, tambem vai matar voce;Negativo;joseneto21
;;;;;;
Internacional;Camisa 12;20/01/2021;22:04;Ae tricoflores, hoje voces vao chorar em ;Negativo;jdfmp
;Nacao Independente Comando Vermelho;21/03/2021;23:33;Hoje vamo comemorar indo pra briga!!!!!!;Negativo;CVColorado
;;;;;;
Gremio;Garra Tricolor;23/04/2021;00:15;Chupaaa cholorados, nao guentam no campo e nem se vim pra porrada;Negativo;vinibraaz
;Torcida Jovem;24/01/2021;13:10;Vamo ganhar essa copaa meu IMORTAAAAL;Positivo;hubrju
;;;;;;
Goias;Forca Jovem;26/02/2021;14:56;Aiai essa freguesia so cresce, bando de lixo, isso n e dragao não, ta no maximo pra um passarinho;Negativo;Rriccetto
;;;;;;
;;;;;;
Atletico Goianiense;Mafia Atleticano;29/01/2021;18:45;Mais um classico do equilibrio hoje, e vencer ou vencer, se não vai ter guerra;Negativo;viipivoto
;Dragoes Atleticanos;30/05/2021;13:01;Vai ser complicado essas oitavas contra o CAP;Positivo;CaiqueMCostaM
;;;;;;
Bahia;Bamor;01/02/2021;14:40;Não temos mais rivais na Bahia, impressionante como o Vitoria se apequenou;Negativo;DRAFT1000GRAU
;Terror Tricolor;02/04/2021;20:20;VAMO PARA MAIS UMA MEU BAHIAA;;
;;;;;;
Santa Cruz;Inferno Coral;04/02/2021;15:35;"""nos somos os leoes da ilha"", muito engracado esses caras não passam de um gatinho de condominio";Negativo;NadalRafaella
;Raça Coral;05/06/2021;00:13;Mais uma vitoria pro santinha, cada vez jogando melhor;Positivo;Matheusperez
;;;;;;
Sport;Leoes da Ilha;07/02/2021;17:28;Hoje o xpoh vai passar o trator, tem nem como;Positivo;leozinTips
;Torcida Jovem;08/01/2021;22:52;As cobrinhas piram com cada jogo nosso, impressionante o quao lixo eles são, cada vez com mais vontade de espancar um;Negativo;AfiuneCaio
;;;;;;
Fortaleza;Leoes da TUF;10/03/2021;18:56;Contra a leoes esses vozinho nunca arranjam nada, se quiser provar vem na briga as 20:00 na Praca no Ferreira;Negativo;RBLZVerjgang
;Leoes da TUF;11/03/2021;19:56;O MAIOR DO NORDESTE;Positivo;joaozinhoo
;;;;;;
Ceara;Cearamor;12/02/2021;22:13;VAMO VOZAO!!!!!;Positivo;LongwellBelle
;;;;;;
Coritiba;Imperio Alviverde;14/06/2021;01:42;Os furachao fala, fala e fala, mas nunca consiguirao ser maior que nos;Negativo;Iaanziito
;;;;;;
Athletico Paranaense;Ultras do Athletico;16/01/2021;02:01;O maior do sul nao tem como, os coxa nunca serao o que a gente e agora, SOMOS CAMPEOES DE NOVO;Negativo;FelipeAbel22
;Ultras do Athletico;17/01/2021;03:01;sdds do time de 2019 e do tiago nunes;Positivo;cainhojatoba
;Ultras do Athletico;31/05/2021;02:42;chora torcida do coxa, mais uma vitoriaa;Negativo;anselmo98
;;;;;;
;;;;;;
