Idade;Classe de Trabalho;Peso Final;Educacao;Id-Educacao;Estado Civil;Ocupacao;Relacao;Raca;Sexo;Ganho de Capital;Perda de Capital;Horas-Por-Semana;Nacionalidade;Ganho Anual
39; Chefe-de-estado;77516; Bacharelado;13; Nunca-casou; Assistente-administrativo; Nao-membro-da-familia; Branco; Masculino;2174;0;40;Brasil; <=25K
50; Trabalhador-nao-autonomo;83311; Bacharelado;13; Conjuge-civ-casado; Executivo-gerencial; Marido; Branco; Masculino;0;0;13;Brasil; <=25K
38; Privado;215646; Formado-EM;9; Divorciado; Limpeza; Nao-membro-da-familia; Branco; Masculino;0;0;40;Brasil; <=25K
53; Privado;234721; 2-colegial;7; Conjuge-civ-casado; Limpeza; Marido; Negro; Masculino;0;0;40;Brasil; <=25K
28; Privado;338409; Bacharelado;13; Conjuge-civ-casado; Profissional-especializado; Esposa; Negro; Feminino;0;0;40;Brasil; <=25K
37; Privado;284582; Mestrado;14; Conjuge-civ-casado; Executivo-gerencial; Esposa; Branco; Feminino;0;0;40;Brasil; <=25K
49; Privado;160187; 9-ano;5; Casado-conjuge-ausente; Outros-servicos; Nao-membro-da-familia; Negro; Feminino;0;0;16;Brasil; <=25K
52; Trabalhador-nao-autonomo;209642; Formado-EM;9; Conjuge-civ-casado; Executivo-gerencial; Marido; Branco; Masculino;0;0;45;Brasil; >25K
31; Privado;45781; Mestrado;14; Nunca-casou; Profissional-especializado; Nao-membro-da-familia; Branco; Feminino;14084;0;50;Brasil; >25K
42; Privado;159449; Bacharelado;13; Conjuge-civ-casado; Executivo-gerencial; Marido; Branco; Masculino;5178;0;40;Brasil; >25K
37; Privado;280464; Faculdade;10; Conjuge-civ-casado; Executivo-gerencial; Marido; Negro; Masculino;0;0;80;Brasil; >25K
30; Chefe-de-estado;141297; Bacharelado;13; Conjuge-civ-casado; Profissional-especializado; Marido; Asiatico; Masculino;0;0;40;Brasil; >25K
23; Privado;122272; Bacharelado;13; Nunca-casou; Assistente-administrativo; Filho-proprio; Branco; Feminino;0;0;30;Brasil; <=25K
32; Privado;205019; Associacao-academica;12; Nunca-casou; Vendas; Nao-membro-da-familia; Negro; Masculino;0;0;50;Brasil; <=25K
40; Privado;121772; Curso-profissionalizante;11; Conjuge-civ-casado; Reparo-artesanal; Marido; Asiatico; Masculino;0;0;40;Brasil; >25K
34; Privado;245487; 7ou8-ano;4; Conjuge-civ-casado; Movimentacao-de-transporte; Marido; Nordicos; Masculino;0;0;45;Brasil; <=25K
25; Trabalhador-nao-autonomo;176756; Formado-EM;9; Nunca-casou; Fazenda-pesca; Filho-proprio; Branco; Masculino;0;0;35;Brasil; <=25K
32; Privado;186824; Formado-EM;9; Nunca-casou; Operador-maquina; Nao-casado; Branco; Masculino;0;0;40;Brasil; <=25K
38; Privado;28887; 2-colegial;7; Conjuge-civ-casado; Vendas; Marido; Branco; Masculino;0;0;50;Brasil; <=25K
43; Trabalhador-nao-autonomo;292175; Mestrado;14; Divorciado; Executivo-gerencial; Nao-casado; Branco; Feminino;0;0;45;Brasil; >25K
40; Privado;193524; Doutorado;16; Conjuge-civ-casado; Profissional-especializado; Marido; Branco; Masculino;0;0;60;Brasil; >25K
54; Privado;302146; Formado-EM;9; Separado; Outros-servicos; Nao-casado; Negro; Feminino;0;0;20;Brasil; <=25K
35; Governo-federal;76845; 9-ano;5; Conjuge-civ-casado; Fazenda-pesca; Marido; Negro; Masculino;0;0;40;Brasil; <=25K
43; Privado;117037; 2-colegial;7; Conjuge-civ-casado; Movimentacao-de-transporte; Marido; Branco; Masculino;0;2042;40;Brasil; <=25K
59; Privado;109015; Formado-EM;9; Divorciado; Suporte-Tecnico; Nao-casado; Branco; Feminino;0;0;40;Brasil; <=25K
56; Governo-municipal;216851; Bacharelado;13; Conjuge-civ-casado; Suporte-Tecnico; Marido; Branco; Masculino;0;0;40;Brasil; >25K
19; Privado;168294; Formado-EM;9; Nunca-casou; Reparo-artesanal; Filho-proprio; Branco; Masculino;0;0;40;Brasil; <=25K
54; ?;180211; Faculdade;10; Conjuge-civ-casado; ?; Marido; Asiatico; Masculino;0;0;60;Brasil; >25K
39; Privado;367260; Formado-EM;9; Divorciado; Executivo-gerencial; Nao-membro-da-familia; Branco; Masculino;0;0;80;Brasil; <=25K
49; Privado;193366; Formado-EM;9; Conjuge-civ-casado; Reparo-artesanal; Marido; Branco; Masculino;0;0;40;Brasil; <=25K
23; Governo-municipal;190709; Associacao-academica;12; Nunca-casou; Seguranca; Nao-membro-da-familia; Branco; Masculino;0;0;52;Brasil; <=25K
