Time;Torcida Organizada;Data;Hora;Tweet;Positivo / Negativo;Conta
Palmeiras;Mancha Verde;21/06/2021;00:43;E ai, @DpaulaPatrick ? As 14h17 recebemos essa mensagem diretamente de voce em nosso Instagram. Agora a noite voce estava em balada, tirando com a cara do torcedor palmeirense. E agora, Mauricio Banana? O que mais falta pra virar homem e assumir o comando?;Negativo;torcidamv83
Palmeiras;Mancha Verde;ind;ind;Ainda bem que desde a ultima tempo os jogadores da base vem sendo mais utilizados;Positivo;ind
Palmeiras;Mancha Verde;ind;ind;Em questao de salarios, o palmeiras esta conseguindo pagar tudo em dia;Positivo;ind
Palmeiras;TUP;15/05/2021;22:02;E foda esses muleques que so pensam em TikTok e nao querem saber de jogar mais;Negativo;tupminhavida
Palmeiras;TUP;ind;ind;Impressionante como o Bananotte e o Barros sao uns idiotas para contratar, nunca vi piores que eles;Negativo;ind
Palmeiras;TUP;ind;ind;Depois da triplice coroa esses jogadores nao querem saber de mais nada, serao cobrados no CT amanha as 10:00, vai quem quiser tirar satisfacao tambem;Negativo;ind
Palmeiras;TUP;22/04/2021;01:43;a TUP nunca abaixa a cabeca nas brigas;Negativo;ronaldovr
Palmeiras;Porks;ind;ind;Gracas aos titulos desse ano a diretoria conseguiu ficar sem demitir ninguem durante a pandemia;Positivo;ind
Palmeiras;Porks;ind;ind;Certeza que os jogadores nao treinam pra bater a porra do penalti;Negativo;ind
Palmeiras;Porks;17/03/2021;02:43;Porks a torcida mais apaixonada;Positivo;leandrorei98
Corinthians;Gavioes da Fiel;21/06/2021;14:42;Ja visitei um bar da Gavioes da Fiel, um rapaz passou de verde em frente ao bar, os torcedores rasgaram a blusa e queimou, acho besteira, so porque e corintiano nao pode usar verde?;Positivo;Talita59050540
Corinthians;Gavioes da Fiel;ind;ind;Tem que tirar esse cancer que chamam de diretoria, abrindo votacao pra quem e fiel torcedor, so assim tem uma perspectiva real de longo prazo;Negativo;ind
Corinthians;Gavioes da Fiel;ind;ind;Nao e possivel que aceitaram essa camisa nova branca, muito feia meu deus ;Negativo;ind
Corinthians;Camisa 12;15/06/2021;15:42;quando o corinthians foi campeao, eu estava com a linda camisa da 12;Positivo;robert266
Corinthians;Camisa 12;ind;ind;Ate que enfim esta utilizando bastante a base, mais chance de um dar certo;Positivo;ind
Corinthians;Camisa 12;ind;ind;A gente tem uma lista de jogadores que nao da pra ficar insistindo mais, e logo logo eles serao cobrados ao vivo;Negativo;ind
Corinthians;Pavilhao 9;16/06/2021;16:42;a torcida do pavilhao e mil vezes melhor que a da gavioes;Negativo;luizinhooo
Corinthians;Pavilhao 9;ind;ind;Pelo menos paramos a busca por um tecnico e vao deixar o Sylvinho trabalhar;Positivo;ind
Corinthians;Pavilhao 9;ind;ind;Financas parecem estar melhorando depois da entrada do Duilio ;Positivo;ind
Santos;Torcida Jovem;29/05/2021;21:05;adoramos brigar com a dragoes da real, eles sempre apanham;Negativo;ReinaldoSilva01
Santos;Sangue Jovem;28/05/2021;22:32;assistir o jogo com a linda torcida da Sangue Jovem, foi incrivel ;Positivo;modoturbo362
Santos;Meninos da Vila;21/05/2021;08:07;bora pro jogo, torcer e gritar pelo nosso Santos;Positivo;luizinhapimentel
Sao Paulo;Independente;01/02/2021;22:15;como eu te amo tricolor...;Positivo;biel1799
Sao Paulo;Independente;04/04/2021;ind;As contratacoes do Benitez e do Miranda foram as melhores que eu vi em muito tempo como torcedor tricolor;Positivo;ind
Sao Paulo;Independente;07/06/2021;ind;E ridiculo ainda pagarmos salario pro Hernanes, como esse cara ta aqui ainda;Negativo;ind
Sao Paulo;Dragoes da Real;15/02/2021;23:32;pode vir porco, de hoje nao passa as 21 na barra funda;Negativo;hudson32
Sao Paulo;Dragoes da Real;20/05/2021;ind;Os novos planos de socio-torcedor tao uma maravilha;Positivo;ind
Sao Paulo;Dragoes da Real;ind;ind;Ate que enfim temos um presidente que se preocupa e esta lidando com as dividas;Positivo;ind
Sao Paulo;Falange Tricolor;13/02/2021;00:32;como e lindo ver o sao paulo jogando bem assim ;Positivo;leozinhopaulista
